creation_date,status,order_id,shipper_name,ship_mode,cod_amount,insured_value,delivery_fee,item_description,origin_region,start_clock_date,district,city,province,day_to_arv
06/03/2023,Completed,1611264,(Coxxx),STANDARD,869010.0,799000.0,56907.0,Modem Wifi Home Router 4G Telkomsel Orbit Star 2 Huawei B312 FreeKuota,Sumatera 1,2023-03-07 3:59:24,Muara Komam,Kab. Paser,Kalimantan Timur,5.0
06/03/2023,Completed,1445572,(Laxxx),SECOND CLASS,4177500.0,4076000.0,69360.0,HP OPPO A54S RAM 6/128GB GARANSI 1 TAHUN,Sumatera 1,2023-03-07 3:59:24,Barumun,Kab. Padang Lawas,Sumatera Utara,3.0
08/04/2023,Completed,1230115,(Laxxx),SECOND CLASS,889000.0,879000.0,22740.0,OPPO A15S RAM 6/128 GB FULLSET Garansi 1 Tahun Android COD,Greater Jakarta,2023-04-11 8:53:54,Yosowilangun,Kab. Lumajang,Jawa Timur,3.0
08/04/2023,Cancelled,1869163,(Coxxx),STANDARD,1325000.0,1250000.0,,HKM 281 / HKM281 Orbit Pro Modem Telkomsel WiFi 4G High Speed,Sumatera 1,2023-04-11 8:53:54,Biatan,Kab. Berau,Kalimantan Timur,5.0
14/04/2023,Completed,1848334,(Laxxx),SECOND CLASS,1169500.0,1079000.0,32280.0,HP OPPO A54 RAM 6/128GB GARANSI 1 TAHUN FULLSET,Greater Jakarta,2023-04-15 0:53:12,Pahandut,Kota Palangka Raya,Kalimantan Tengah,3.0
14/04/2023,Completed,1308997,(Coxxx),STANDARD,3650638.0,3645638.0,237538.0,Mikrotik Embedded LTE Client LHG LTE Kit RBLHG-LTE-Kit,Sumatera 1,2023-04-15 0:53:12,Belitang Hulu,Kab. Sekadau,Kalimantan Barat,5.0
16/04/2023,Completed,1990892,(HXxxx),SECOND CLASS,716500.0,699000.0,34040.0,OPPO A3S 6/128GB GARANSI 1TH. MURAH,Sumatera 4,2023-04-16 4:12:09,Sasak Ranah Pasisir/pesisie,Kab. Pasaman Barat,Sumatera Barat,3.0
16/04/2023,Cancelled,1200845,(Coxxx),STANDARD,3997000.0,3850000.0,,"Laptop ASUS E410MA N4020 4GB 320GB SSD W11 14\""HD 1YR BLACK DIST",Greater Jakarta,2023-04-16 4:12:09,Wajo,Kota Makassar,Sulawesi Selatan,5.0
17/04/2023,Completed,1435161,(GLxxx),STANDARD,615000.0,560000.0,,Mixer Ashley M-House 4 4Channel / MIXER ASHLEY M HOUSE4 house4 Mixer Bagus ( BISA COD ),Greater Jakarta,2023-04-18 0:21:04,Seponti,Kab. Kayong Utara,Kalimantan Barat,5.0
17/04/2023,Completed,1757113,(Inxxx),STANDARD,967788.0,924288.0,,new oppo a31 ram 6/128gb baru layar lebar 6.5 inci Fullset hp murah jaringan sidik jari hp 4g LTE,Greater Jakarta,2023-04-18 1:08:05,Bunga Mas,Kab. Bengkulu Selatan,Bengkulu,5.0
25/04/2023,Completed,1129132,(Laxxx),SECOND CLASS,1034000.0,979000.0,40515.0,HP OPPO A54S RAM 6/128GB GARANSI 1 TAHUN,Greater Jakarta,2023-04-25 23:30:46,Simpang Dua,Kab. Ketapang,Kalimantan Barat,3.0
25/04/2023,Completed,1720219,(HXxxx),FIRST CLASS,981000.0,959000.0,76600.0,OPPO A16 RAM 6/128GB GARANSI TOKO 1THN FULLSET/ BISA COD,Sumatera 5,2023-04-25 23:30:46,Kebun Tebu,Kab. Lampung Barat,Lampung,1.0
25/04/2023,Completed,1184589,(Lixxx),STANDARD,667000.0,539000.0,58627.0,Orbit Star A1 Telkomsel Cpe Advan Router 4G Termasuk 150GB 6bln (6x25GB) Garansi Resmi,Greater Jakarta,2023-04-25 23:30:46,Nabire,Kab. Nabire,Papua,5.0
27/04/2023,Completed,1779354,(Lixxx),STANDARD,762000.0,731000.0,14840.0,Telkomsel Orbit Star 3 ZTE MF283U Modem Wifi Home Router Termasuk 150GB 6bln(6x25GB) Garansi Resmi,Sumatera 1,2023-04-30 3:31:36,Kerajaan,Kab. Pakpak Bharat,Sumatera Utara,5.0
27/04/2023,Completed,1353169,(Laxxx),SECOND CLASS,1135000.0,1099000.0,42050.0,HP OPPO A54 RAM 6/128GB GARANSI 1 TAHUN FULLSET,Sumatera 5,2023-04-28 1:27:05,Jati Agung,Kab. Lampung Selatan,Lampung,3.0
27/04/2023,Completed,1175586,(Laxxx),SECOND CLASS,1034500.0,977000.0,28400.0,OPPO A54S RAM 6/128GB FULLSET GARANSI 1 TH TERSEGEL,Greater Jakarta,2023-04-28 4:34:05,Air Besi,Kab. Bengkulu Utara,Bengkulu,3.0
27/04/2023,Completed,1272487,(Laxxx),FIRST CLASS,939000.0,879000.0,60580.0,OPPO A15S RAM 6/128 GB FULLSET Garansi 1 Tahun Android COD,Sumatera 4,2023-04-30 3:31:36,Kapur Ix/sembilan,Kab. Lima Puluh Koto/kota,Sumatera Barat,1.0
27/04/2023,Completed,1296268,(Coxxx),STANDARD,2019430.0,1850000.0,226800.0,Modem Wifi Home Router 4G Telkomsel Orbit Star 2 Huawei B312 FreeKuota,Sumatera 1,2023-04-28 1:27:05,Oba Utara,Kota Tidore Kepulauan,Maluku Utara,5.0
28/04/2023,Cancelled,1358222,(Koxxx),STANDARD,716830.0,717000.0,,OPPO A3s 4/64GB 4/128GB 6/128GB SECOND HAND LIKE NEW 99% TERPERCAYA DAN BERGARANSI 1TAHUN,Greater Jakarta,2023-04-28 4:14:18,Balikpapan Tengah,Kota Balikpapan,Kalimantan Timur,5.0
30/04/2023,Completed,1489881,(moxxx),STANDARD,4827000.0,4800000.0,32050.0,kaos Boxster kolor santai murah,Sumatera 5,2023-05-01 16:37:01,Banjar Baru,Kab. Tulang Bawang,Lampung,5.0
30/04/2023,Completed,1051193,(Laxxx),SECOND CLASS,1004000.0,959000.0,54520.0,OPPO A16 RAM 6/128GB - FULLSET GARANSI 1 THN,Sumatera 3,2023-05-01 16:37:01,Kemuning,Kab. Indragiri Hilir,Riau,3.0
02/05/2023,Cancelled,1399682,(J3xxx),STANDARD,2340500.0,2319000.0,,OPPO A57 4/128 & 4/64 NEW GARANSI RESMI OPPO,Sumatera 1,2023-05-02 22:21:18,Paninggaran,Kab. Pekalongan,Jawa Tengah,5.0
02/05/2023,Completed,1271926,(Doxxx),STANDARD,326400.0,320000.0,6370.0,SCANNER OBD 2 URO 5 VERSI ANDROID,Central Java,2023-05-02 18:24:35,Sagalaherang,Kab. Subang,Jawa Barat,5.0
03/05/2023,Completed,1244476,(SRxxx),FIRST CLASS,797264.0,687764.0,128900.0,HELM KYT CROSS JUMPSHOT SERI 3 DOFF/RED ORIGINAL,Central Java,2023-05-04 3:19:44,Labuhan Maringgai,Kab. Lampung Timur,Lampung,1.0
03/05/2023,Completed,1061939,(Laxxx),SECOND CLASS,1104500.0,1077000.0,28400.0,OPPO A54 RAM 6/128GB FULLSET GARANSI 1 TH TERSEGEL,Greater Jakarta,2023-05-04 2:58:09,Bunga Mas,Kab. Bengkulu Selatan,Bengkulu,3.0
